ico;slucovany_id;slucovany_nazev;cilovy_id;cilovy_nazev;stav
70989605;39293;709 896 05;4707;Základní škola a Mateřská škola – č.p. 34, Jevišovice;HOTOVO 2026-09-08
25853708;39298;Základní škola Sedmikráska, o.p.s.;2608;Základní škola Sedmikráska, o.p.s. – Bezručova 293, Rožnov pod Radhoštěm;ceka
70918805;39662;Základní škola a Mateřská škola Dr. Edvarda Beneše, Praha-Čakovice;4479;ZŠ a MŠ Dr. Edvarda Beneše – náměstí Jiřího Berana 500/1, Praha 9 - Čakovice;ceka
03972071;39292;LABYRINTH - gymnázium a základní škola, s.r.o.;2961;LABYRINTH - gymnázium a ZŠ, s.r.o. – Lidická 1869/28, Brno;ceka
07699603;34885;Základní škola Eduard – Ernsta Macha 866/27d, Brno;25619;ZŠ Eduard;ceka
62331540;39709;Gymnázium a Obchodní akademie, Orlová, příspěvková organizace;2057;Gymnázium Orlová;ceka
69781761;39431;Základní škola Praha 5 - Košíře, Nepomucká 1/139, příspěvková organizace;3776;Základní škola – Nepomucká 139/1, Praha 5 - Košíře;ceka
47723505;39646;Základní škola JIH, Mariánské Lázně, Komenského 459, příspěvková organizace;4441;Základní škola JIH – Komenského 459/1, Mariánské Lázně;ceka
70994994;39720;Základní škola Bakov nad Jizerou,okres Mladá BoleslaV;3946;Základní škola – Palackého 278, Bakov nad Jizerou;ceka
42727537;39726;Základní škola Dobříš, Komenského nám. 35, okres Příbram;4392;Základní škola – náměstí Komenského 35, Dobříš;ceka
44991665;39723;AKADEMIA Gymnázium, Základní škola a Mateřská škola, s.r.o.;4814;AKADEMIA Gy, ZŠ a MŠ, s.r.o. – Rašelinová 2433/11, Brno;ceka
61924041;39560;619 240 41;4930;Gymnázium a Střední odborná škola pedagogická, Čáslav, Masarykova 248;ceka
62073184;39708;Základní škola Lipůvka, příspěvková organizace;3130;Základní škola – č.p. 283, Lipůvka;ceka
70641871;39679;Základní škola a mateřská škola Ostrava-Svinov, příspěvková organizace;2862;Základní škola a mateřská škola – Bílovecká 10/7, Ostrava;ceka
75029901;39648;Základní škola a mateřská škola Mosty u Jablunkova 750,  příspěvková organizace;3185;Základní škola a mateřská škola – č.p. 750, Mosty u Jablunkova;ceka
47657022;39706;Základní škola Olomouc, Heyrovského 33, příspěvková organizace;4562;Základní škola – Heyrovského 460/33, Olomouc;ceka
65765907;39243;Základní škola a mateřská škola Adamov, příspěvková organizace;3201;Základní škola a mateřská škola – Komenského 324/4, Adamov;ceka
69781877;39651;697 818 77;4343;Základní škola a mateřská škola – Weberova 1090/1, Praha 5 - Košíře;ceka
70944687;39694;Základní škola a mateřská škola Ostrava-Zábřeh, Kosmonautů, příspěvková organizace;4251;Základní škola a mateřská škola – Kosmonautů 2217/15, Ostrava;ceka
68729928;39206;Základní škola a Mateřská škola Vranovice, příspěvková organizace;2873;Základní škola a Mateřská škola – Masarykova 178, Vranovice;ceka
