id;skupina_ico;role;typ_skupiny;deals_open;deals_closed;osoby;name;owner_id;label_ids;website;linkedin;industry;annual_revenue;employee_count;visible_to;add_time;update_time;is_deleted;address.value;address.subpremise;address.street_number;address.route;address.sublocality;address.locality;address.admin_area_level_1;address.admin_area_level_2;address.postal_code;address.country;address.formatted_address;cf.02eb0f638d9d6fb99a3fc0b6c274f1cea86aa691;cf.0a7f283f809234eae91d60341d11bd95bc16180d;cf.0b58197158cfc8201c352d14b7b837be1a78cceb;cf.0f91eb090c567025d50bd189c2fcef7660168cd2;cf.14a4ac8013661f14c28f977a30092cb6c315a20a;cf.232ebbf4c83f26373ecffe82af67c36963a1ec92;cf.2d1b78c03a1a2f8fd4472defaf32f40b4aa517fa;cf.3a2b73f1a8f908922b1ea5cae104d86d3d9f70b1;cf.4f6d4b49dd0c39448d59c76d9fe9a43026c03edc;cf.5508fa81db364acf7ee7fdc603a016c4c5479aae;cf.5565c37125199485cd7968dc6654d03cfa8d97d8;cf.58292c6b75b6b047a30635b6277d3d71f5376949;cf.5c6385dbe81a44197233a3ad6d66cefa54e8a84f;cf.5f5d9955991be6d8a4586b935b5dca5debf409d5;cf.60a1ba6d2782a2c250108cab56ef0fe61515efbb;cf.70ff2c57f7e0784a71f539a1683a2a050ff2a71c;cf.73573bbb46530af29a18a152762539900342f105;cf.7825f3fdbf7a73a202047a54a429f556a5406b81;cf.88455d0abc8d38a663d25462f501f27cae1eef38;cf.9925a084cc9f374591cb593fa818d4460dbc8c2e;cf.a205678df30f94b434bac611ddff4d2dbb7ae38b;cf.a865d043f6fc8201c30bde5974247ee669ece13a;cf.b829f774cb43a6c4841bd5ce4d2dc7fdbaf96eee;cf.b9ef0fcf6aaff0bef9ba332d255bd33bc6f435a3;cf.d123fdfafdb91420983bfedc81aa956ccbaddae4;cf.dfd241da5230a22ef96710acdca51011fb453341;cf.e3453fd3dec0332ac02998427c31663ba064b13f;cf.e4a4020ed5fcbc3a5ca28a59f378725bee707a4e;cf.f2d70cc7aa7ede911aed630f4621ea06ff048b6c;cf.f657d226854c94a51148746df786d1c5ac10cfea;cf.f7b47c3751ab31d105ee0d6cb7fc1ab60e561765;cf.f892ff1690d0ea86d76de3a2371013b454485d80;cf.fb4eabb84ace77ca298b8038b5d23c6abbf73887;cf.fc3b0719fff2d05f89a9010de08a5cd4c8ecf625
7843;00009999;ponechat;merge;0;1;1;ZS Myjava;11629944;[];;;;;;7;2022-04-24T17:23:47Z;2025-11-19T12:51:38Z;False;Trenčiansky kraj;;;;;;Trenčín Region;;;Slovakia;Trenčín Region, Slovakia;;;;9999;;;;;;;;;;;"{""value"": ""Slovakia"", ""subpremise"": """", ""street_number"": """", ""route"": """", ""sublocality"": """", ""locality"": """", ""admin_area_level_1"": """", ""admin_area_level_2"": """", ""country"": ""Slovensko"", ""postal_code"": """", ""formatted_address"": ""Slovensko""}";;;12797715;;;;;;;;;;;;;;;;
39760;00009999;sloucit;merge;1;0;1;Ninjabot;11629944;[];;;;;;7;2026-04-20T15:03:29Z;2026-07-31T16:44:25Z;False;;;;;;;;;;;;226;;;9999;;;;;;;;;;;"{""value"": ""Czech republic"", ""subpremise"": null, ""street_number"": null, ""route"": null, ""sublocality"": null, ""locality"": null, ""admin_area_level_1"": null, ""admin_area_level_2"": null, ""country"": ""Czechia"", ""postal_code"": null, ""formatted_address"": ""Czechia""}";;;18026774;;;208;;;;;;;;;;;;;
2842;00082627;ponechat;merge;0;2;3;Střední škola obchodu, řemesel, služeb a Základní škola, Ústí nad Labem, příspěvková organizace;11629944;[];;;;;;7;2021-05-17T13:02:06Z;2026-02-05T01:00:13Z;False;Fügnerova 348/22, Trmice;;348;Fügnerova;;Trmice;Ústecký kraj;Ústí nad Labem;400 04;Czechia;Fügnerova 348, 400 04 Trmice, Czechia;226;;;82627;;24;2342;reditel@obchodniskola.cz;;;;;;117.0;"{""value"": ""Czech republic"", ""subpremise"": null, ""street_number"": null, ""route"": null, ""sublocality"": null, ""locality"": null, ""admin_area_level_1"": null, ""admin_area_level_2"": null, ""country"": ""Czechia"", ""postal_code"": null, ""formatted_address"": ""Czechia""}";;;12795779;http://www.obchodniskola.cz;;208;;475669150;;;;;;iveta@vividbooks.com;;;198;;81.0
9040;00082627;sloucit;merge;1;0;1;SŠ obchodu, řemesel, služeb a ZŠ – Keplerova 315/7, Ústí nad Labem;11629944;[];;;;;;7;2023-01-17T17:26:37Z;2026-08-25T00:00:46Z;False;Keplerova 315/7, Ústí nad Labem;;;;;;Ústecký kraj;;;;;226;;;00082627;;24;;ekonom@obchodniskola.cz;;;Praktická škola dvouletá;;;118;"{""value"": ""Czech republic"", ""subpremise"": null, ""street_number"": null, ""route"": null, ""sublocality"": null, ""locality"": null, ""admin_area_level_1"": null, ""admin_area_level_2"": null, ""country"": ""Czechia"", ""postal_code"": null, ""formatted_address"": ""Czechia""}";;;;http://www.obchodniskola.cz;;208;;475669151;;;;;;;7PJ22A;;200;;82
8450;00216208;sloucit;merge;0;2;6;bb;11629944;[];;;;;;7;2022-10-09T09:46:48Z;2026-09-01T09:10:29Z;False;Hlavní město Praha;;;;;Prague;Prague;Hlavní město Praha;;Czechia;Prague, Czechia;226;;;00216208;;212;;;;;;;;;"{""value"": ""Czech republic"", ""subpremise"": null, ""street_number"": null, ""route"": null, ""sublocality"": null, ""locality"": null, ""admin_area_level_1"": null, ""admin_area_level_2"": null, ""country"": ""Czechia"", ""postal_code"": null, ""formatted_address"": ""Czechia""}";;;;;;208;;;;;;;;iveta@vividbooks.com;D3ZZZC;;;;
28554;00216208;sloucit;merge;0;2;2;Univerzita Karlova;11629944;[424];;;;;;7;2024-10-10T13:18:13Z;2026-05-04T06:35:00Z;False;Ovocný trh 560, Old Town, Czechia;;5;Ovocný trh;Praha 1;;Hlavní město Praha;Hlavní město Praha;110 00;Czechia;Ovocný trh 560/5, 110 00 Praha 1-Staré Město, Czechia;226;;;00216208;[288];304;;;;[348];;;;;"{""value"": ""Czech republic"", ""subpremise"": null, ""street_number"": null, ""route"": null, ""sublocality"": null, ""locality"": null, ""admin_area_level_1"": null, ""admin_area_level_2"": null, ""country"": ""Czechia"", ""postal_code"": null, ""formatted_address"": ""Czechia""}";;;12795779;;;208;12795779;;315;;;;;iveta@vividbooks.com;8DA9XH;;;;
39761;00216208;ponechat;merge;1;1;7;Univerzita Karlova;12795779;[];;;;;;7;2026-04-21T08:16:04Z;2026-09-05T09:28:02Z;False;Ovocný trh 560/5, Staré Město, 11000 Praha 1;;5;Ovocný trh;Praha 1;;Hlavní město Praha;Hlavní město Praha;110 00;Czechia;Ovocný trh 560/5, Staré Město, 110 00 Praha-Praha 1, Czechia;226;;;  00216208;;;;;;;;;;;"{""value"": ""Czech republic"", ""subpremise"": null, ""street_number"": null, ""route"": null, ""sublocality"": null, ""locality"": null, ""admin_area_level_1"": null, ""admin_area_level_2"": null, ""country"": ""Czechia"", ""postal_code"": null, ""formatted_address"": ""Czechia""}";;;;;;208;;;;;;;;;GMC7EJ;;;;
9489;00582336;sloucit;merge;0;0;2;Střední škola polytechnická;11629944;[];;;;;;7;2023-01-17T17:28:16Z;2026-02-16T11:07:59Z;False;Nerudova 859/59;;59;Nerudova;;České Budějovice;Jihočeský kraj;České Budějovice;370 04;Czechia;Nerudova 859/59, České Budějovice 3, 370 04 České Budějovice, Czechia;226;;;00582336;;221;;sekretariat@sspcb.cz;;;Strojní mechanik;;;;"{""value"": ""Czechia"", ""subpremise"": """", ""street_number"": """", ""route"": """", ""sublocality"": """", ""locality"": """", ""admin_area_level_1"": """", ""admin_area_level_2"": """", ""country"": ""Czechia"", ""postal_code"": """", ""formatted_address"": ""Czechia""}";;;;www.sspcb.cz;;;;387 423 450;;;;;;;;;20;;
26803;00582336;ponechat;merge;0;1;0;Střední škola polytechnická, Nerudova 859/59, České Budějovice;12116814;[];;;;;;7;2024-03-12T07:43:20Z;2024-11-14T01:02:59Z;False;Jihočeský kraj;;;;;;South Bohemian Region;;;Czechia;South Bohemian Region, Czechia;226;;;00 582 336;;221;;;;;;;;;"{""value"": ""Czechia"", ""subpremise"": """", ""street_number"": """", ""route"": """", ""sublocality"": """", ""locality"": """", ""admin_area_level_1"": """", ""admin_area_level_2"": """", ""country"": ""Czechia"", ""postal_code"": """", ""formatted_address"": ""Czechia""}";;;12116814;sspcb.cz;;208;12116814;;315;;;;;jiri@vividbooks.com;KM7SYW;;;;
4052;00582841;ponechat;merge;0;3;3;Základní škola Soběslav, tř. Dr. Edvarda Beneše 50;11629944;[];;;;;;7;2021-05-17T13:09:16Z;2026-02-12T15:45:04Z;False;tř. Dr. Edvarda Beneše 50/18, Soběslav;;18;třída Doktora Edvarda Beneše;;Soběslav;Jihočeský kraj;Tábor;392 01;Czechia;tř. Dr. Edvarda Beneše 50/18, 392 01 Soběslav, Czechia;226;;;582841;;24;3541;skola@zs-ebeso.cz;35;;;;;264.0;"{""value"": ""Czechia"", ""subpremise"": """", ""street_number"": """", ""route"": """", ""sublocality"": """", ""locality"": """", ""admin_area_level_1"": """", ""admin_area_level_2"": """", ""country"": ""Czechia"", ""postal_code"": """", ""formatted_address"": ""Czechia""}";;;12116814;www.zs-ebeso.cz;;208;18026774;381524015;315;;;;;jiri@vividbooks.com;YRCQQ8;;527;;236.0
